"home_team","weather_station","altitude_ft","true_pressure"
"ARI","KAZPHOEN469",1280,"N"
"ATL","KGAATLAN378",919,"Y"
"BAL","KMDBALTI156",32,"Y"
"BOS","KMABROOK5",39,"Y"
"CHC","KILCHICA60",610,"N"
"CWS","KILCHICA600",600,"N"
"CIN","KOHCINCI398",607,"N"
"CLE","KOHCLEVE180",730,"N"
"COL","KCODENVE78",5225,"N"
"DET","KMIDETRO81",614,"N"
"HOU","KTXHOUST2475",144,"Y"
"KC","KMOKANSA238",902,"N"
"LAA","KCAORANG103",177,"N"
"LAD","KCALOSAN667",308,"N"
"MIA"
"MIL"
"MIN","KMNMINNE216",919,"Y"
"NYM"
"NYY"
"OAK"
"PHI"
"PIT","KPANORTH62",718,"Y"
"STL","KMOSTLOU58",656,"N"
"SD"
"SF","KCASANFR1213",7,XXX
"SEA","KWASEATT2061",50,"N"
"TB","KFLSTPET134",62,"Y"
"TEX"
"TOR"
"WAS"
